aclew_id,corpus,clip_num,onset,offset
9492,LuCiD_Lang05,3,6180000,6300000
9492,LuCiD_Lang05,4,11100000,11220000
9492,LuCiD_Lang05,5,11340000,11460000
1156,LuCiD_Lang05,1,1980000,2100000
1156,LuCiD_Lang05,2,11580000,11700000
1156,LuCiD_Lang05,3,43020000,43140000
1156,LuCiD_Lang05,4,48600000,48720000
1156,LuCiD_Lang05,5,54300000,54420000
2745,LuCiD_Lang05,1,23760000,23880000
2745,LuCiD_Lang05,2,33720000,33840000
2745,LuCiD_Lang05,3,33960000,34080000
2745,LuCiD_Lang05,4,39900000,40020000
2745,LuCiD_Lang05,5,53040000,53160000
1768,LuCiD_Lang05,1,9180000,9300000
1768,LuCiD_Lang05,2,23400000,23520000
1768,LuCiD_Lang05,3,32580000,32700000
1768,LuCiD_Lang05,4,33540000,33660000
1768,LuCiD_Lang05,5,36720000,36840000
1844,Seedlings,1,2580000,2700000
1844,Seedlings,2,18960000,19080000
1844,Seedlings,3,20340000,20460000
1844,Seedlings,4,31620000,31740000
1844,Seedlings,5,34080000,34200000
3749,Seedlings,1,5520000,5640000
3749,Seedlings,2,7860000,7980000
3749,Seedlings,3,9540000,9660000
3749,Seedlings,4,9720000,9840000
3749,Seedlings,5,34680000,34800000
2927,Seedlings,1,13500000,13620000
2927,Seedlings,2,23820000,23940000
2927,Seedlings,3,26160000,26280000
2927,Seedlings,4,37440000,37560000
2927,Seedlings,5,56400000,56520000
7758,Seedlings,1,10440000,10560000
7758,Seedlings,2,27600000,27720000
7758,Seedlings,3,29940000,30060000
7758,Seedlings,4,31380000,31500000
7758,Seedlings,5,38460000,38580000
5750,Seedlings,1,6420000,6540000
5750,Seedlings,2,22500000,22620000
5750,Seedlings,3,30120000,30240000
5750,Seedlings,4,39300000,39420000
5750,Seedlings,5,40800000,40920000
0396,Seedlings,1,5220000,5340000
0396,Seedlings,2,13680000,13800000
0396,Seedlings,3,21840000,21960000
0396,Seedlings,4,33660000,33780000
0396,Seedlings,5,37380000,37500000
3895,Seedlings,1,9300000,9420000
3895,Seedlings,2,12180000,12300000
3895,Seedlings,3,27120000,27240000
3895,Seedlings,4,30120000,30240000
3895,Seedlings,5,37560000,37680000
6035,Seedlings,1,10680000,10800000
6035,Seedlings,2,13920000,14040000
6035,Seedlings,3,19380000,19500000
6035,Seedlings,4,37980000,38100000
6035,Seedlings,5,49440000,49560000
1196,Seedlings,1,22560000,22680000
1196,Seedlings,2,24960000,25080000
1196,Seedlings,3,32880000,33000000
1196,Seedlings,4,33480000,33600000
1196,Seedlings,5,34740000,34860000
1618,Seedlings,1,3480000,3600000
1618,Seedlings,2,7620000,7740000
1618,Seedlings,3,13200000,13320000
1618,Seedlings,4,23520000,23640000
1618,Seedlings,5,47700000,47820000
4995,Warlaumont,1,2820000,2940000
